reporter_iso3,partner_iso3,product_group,year,indicator,value,unit,source_url,retrieved_utc
chn,tha,28-38_Chemicals,2018,MPRT-TRD-VL,3136073.056,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,idn,28-38_Chemicals,2018,MPRT-TRD-VL,1694430.446,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,mys,28-38_Chemicals,2018,MPRT-TRD-VL,2389542.622,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,bra,28-38_Chemicals,2018,MPRT-TRD-VL,389223.786,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,can,28-38_Chemicals,2018,MPRT-TRD-VL,2322613.251,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,sgp,28-38_Chemicals,2018,MPRT-TRD-VL,5100412.946,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,che,28-38_Chemicals,2018,MPRT-TRD-VL,2363158.67,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,gbr,28-38_Chemicals,2018,MPRT-TRD-VL,2761668.101,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,phl,28-38_Chemicals,2018,MPRT-TRD-VL,363619.608,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,wld,28-38_Chemicals,2018,MPRT-TRD-VL,154051564.254,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/28-38_Chemicals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,usa,72-83_Metals,2018,MPRT-TRD-VL,5714426.963,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,ind,72-83_Metals,2018,MPRT-TRD-VL,2166761.258,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,vnm,72-83_Metals,2018,MPRT-TRD-VL,295462.96,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,mex,72-83_Metals,2018,MPRT-TRD-VL,910352.775,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,jpn,72-83_Metals,2018,MPRT-TRD-VL,14929184.894,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,kor,72-83_Metals,2018,MPRT-TRD-VL,9309975.389,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,deu,72-83_Metals,2018,MPRT-TRD-VL,6038026.657,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,tha,72-83_Metals,2018,MPRT-TRD-VL,657873.717,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,idn,72-83_Metals,2018,MPRT-TRD-VL,3594847.963,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,mys,72-83_Metals,2018,MPRT-TRD-VL,1145335.73,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,bra,72-83_Metals,2018,MPRT-TRD-VL,1425167.053,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,can,72-83_Metals,2018,MPRT-TRD-VL,1007414.395,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,sgp,72-83_Metals,2018,MPRT-TRD-VL,251422.736,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,che,72-83_Metals,2018,MPRT-TRD-VL,281030.56,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
chn,gbr,72-83_Metals,2018,MPRT-TRD-VL,1359110.951,USD thousand,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/chn/year/2018/partner/all/product/72-83_Metals/indicator/MPRT-TRD-VL,2026-09-01T09:45:00Z
