iso3,indicator_code,indicator_name,year,value,source_url,retrieved_utc
EUU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2021,6.32,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
EUU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2022,6.15,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
EUU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2023,5.59,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
EUU,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2024,5.47,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2015,1.96,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2016,1.92,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2017,2.0,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2018,2.21,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2019,2.34,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
IDN,EN.GHG.CO2.PC.CE.AR5,"Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita, AR5)",2020,2.17,https://api.worldbank.org/v2/country/USA;CHN;IND;EUU;VNM;MEX;JPN;KOR;THA;IDN;MYS;BRA;DEU;CAN/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&date=2015:2024&per_page=600,2026-09-01T08:56:50Z
